State,Raised,Religion
Albania,2800138,Total
Albania,69995,Atheist
Albania,280921,Catholic
Albania,3797,Evangelical
Albania,1587608,Muslim
Albania,188992,Orthodox
Albania,602,Other
Albania,1919,Other Christians
Albania,386024,Refused to answer
Albania,58628,Bektashism
Albania,153630,Believers without de
Albania,68022,Not Stated
Antigua and Barbuda,76886,Total
Antigua and Barbuda,19767,Anglican
Antigua and Barbuda,51,Baha'i
Antigua and Barbuda,3777,Baptist
Antigua and Barbuda,194,Brethren
Antigua and Barbuda,3443,Church of God
Antigua and Barbuda,1982,Evangelical
Antigua and Barbuda,189,Hindu
Antigua and Barbuda,228,Islam 
Antigua and Barbuda,1257,Jehovah Witness
Antigua and Barbuda,6091,Methodist
Antigua and Barbuda,8057,Moravian
Antigua and Barbuda,8118,Pentecostal
Antigua and Barbuda,205,Presbyterian
Antigua and Barbuda,973,Rastafarian
Antigua and Barbuda,8021,Roman Catholic
Antigua and Barbuda,444,Salvation Army
Antigua and Barbuda,9436,Seventh Day Adventis
Antigua and Barbuda,66,Spiritualist
Antigua and Barbuda,116,Other
Antigua and Barbuda,3145,No Religion
Antigua and Barbuda,1329,Not Declared
Armenia,3018854,Total
Armenia,2796519,Armenian Apostolic
Armenia,7532,Armenian Orthodox
Armenia,13843,Catholic
Armenia,29280,Evangelical
Armenia,5434,Pagan
Armenia,7888,Other
Armenia,34373,No Religion
Armenia,87214,Not Stated
Armenia,8695,Yeshiva's witness
Armenia,2872,Molokai
Armenia,25204,Shar-fadinian
Aruba,101484,Total
Aruba,880,Adventist
Aruba,450,Anglican
Aruba,1703,Jehovah Witness
Aruba,354,Jewish
Aruba,932,Methodist
Aruba,5625,Pagan
Aruba,2698,Protestant
Aruba,76464,Roman Catholic
Aruba,5625,No Religion
Aruba,515,Not Stated
Aruba,11862,Other Religions and 
Australia,21507719,Total
Australia,3679907,Anglican
Australia,13705,Baha'i
Australia,352499,Baptist
Australia,21732,Brethren
Australia,528979,Buddhist
Australia,5439266,Catholic
Australia,49688,Church of Christ
Australia,2973,Druze
Australia,563072,Eastern Orthodox
Australia,275536,Hindu
Australia,476291,Islam 
Australia,97334,Judaism
Australia,59770,Latter Day Saints
Australia,251932,Lutheran
Australia,237984,Pentecostal
Australia,60162,Salvation Army
Australia,63002,Seventh Day Adventis
Australia,72296,Sikh
Australia,11553,Spiritualist
Australia,1065794,United Church
Australia,37674,Other Christians
Australia,60240,Other Protestant
Australia,18893,Other Religions
Australia,4796786,No Religion
Australia,170401,Not Specified
Australia,85636,Jehovah's Witnesses
Australia,1839650,Not Stated
Australia,470939,Christian nfd
Australia,5151,Chinese Religions
Australia,599517,Presbyterian and Ref
Australia,1640,Japanese Religions
Australia,32083,Nature and earth bas
Australia,2012,Theism
Australia,2541,Zoroastrianism
Australia,7362,Australian Aborigina
Australia,10588,Assyrian Apostolic
Australia,41261,Oriental Orthodox
Austria,8032926,Total
Austria,8032926,Total
Austria,1824,Armenian Apostolic
Austria,1824,Armenian Apostolic
Austria,760,Baha'i
Austria,760,Baha'i
Austria,2108,Baptist
Austria,2108,Baptist
Austria,10402,Buddhist
Austria,10402,Buddhist
Austria,764,Catholic
Austria,764,Catholic
Austria,1152,Christengmeinschaft
Austria,1152,Christengmeinschaft
Austria,2317,Church of England
Austria,2317,Church of England
Austria,4892,Evangelical
Austria,4892,Evangelical
Austria,1089,Greek Oriental
Austria,1089,Greek Oriental
Austria,18533,Greek Orthodox
Austria,18533,Greek Orthodox
Austria,3629,Hindu
Austria,3629,Hindu
Austria,338988,Islam 
Austria,338988,Islam 
Austria,23206,Jehovah Witness
Austria,23206,Jehovah Witness
Austria,8140,Jewish
Austria,8140,Jewish
Austria,2236,Latter Day Saints
Austria,2236,Latter Day Saints
Austria,381,Mennonite
Austria,381,Mennonite
Austria,1263,Methodist
Austria,1263,Methodist
Austria,4217,New Apostolic
Austria,4217,New Apostolic
Austria,14621,Old Catholic Church
Austria,14621,Old Catholic Church
Austria,159115,Orthodox
Austria,159115,Orthodox
Austria,376150,Protestant
Austria,376150,Protestant
Austria,5915421,Roman Catholic
Austria,5915421,Roman Catholic
Austria,4220,Seventh Day Adventis
Austria,4220,Seventh Day Adventis
Austria,123,Shinto
Austria,123,Shinto
Austria,2794,Sikh
Austria,2794,Sikh
Austria,297,Unification
Austria,297,Unification
Austria,1745,Other Religions
Austria,1745,Other Religions
Austria,963263,No Religion
Austria,963263,No Religion
Austria,160662,Not Specified
Austria,160662,Not Specified
Austria,1428,Christian Community
Austria,1428,Christian Community
Austria,7186,Free Christian Commu
Austria,7186,Free Christian Commu
Bahamas,303611,Total
Bahamas,45993,Anglican
Bahamas,3611,Assembly of God
Bahamas,107354,Baptist
Bahamas,6540,Brethren
Bahamas,14641,Church of God
Bahamas,292,Islam 
Bahamas,3706,Jehovah Witness
Bahamas,228,Jewish
Bahamas,532,Lutheran
Bahamas,12903,Methodist
Bahamas,517,Pentecostal
Bahamas,851,Presbyterian
Bahamas,738,Rastafarian
Bahamas,41077,Roman Catholic
Bahamas,11066,Seventh Day Adventis
Bahamas,19414,Other Christians
Bahamas,24527,Other Religions
Bahamas,227,Other Non-Christians
Bahamas,8896,Not Stated
Bahamas,498,Greek Church
Bahrain,650604,Total
Bahrain,58315,Christian
Bahrain,528393,Muslim
Bahrain,63896,Other Religions
Bangladesh,124355263,Total
Bangladesh,773949,Buddhist
Bangladesh,388855,Christian
Bangladesh,11608268,Hindu
Bangladesh,111393250,Muslim
Bangladesh,190941,Other
Barbados,250010,Total
Barbados,13726,Adventist
Barbados,70705,Anglican
Barbados,178,Baha'i
Barbados,4689,Baptist
Barbados,1600,Brethren
Barbados,4966,Church of God
Barbados,840,Hindu
Barbados,4902,Jehovah Witness
Barbados,96,Jewish
Barbados,12665,Methodist
Barbados,3352,Moravian
Barbados,214,Mormon
Barbados,1657,Muslim
Barbados,46726,Pentecostal
Barbados,2859,Rastafarian
Barbados,10443,Roman Catholic
Barbados,1057,Salvation Army
